All,Tümü
"Sorry, but something went wrong. Please contact the seller.","Maalesef bir şeyler ters gitti. Lütfen satıcıyla iletişime geçin."
"Authorize.net Direct Post","Authorize.net Direk Posta"
Enabled,"Aktif edildi"
"Payment Action","Ödeme İşlemi"
Title,Başlık
"API Login ID","API Giriş No"
"Transaction Key","İşlem Anahtarı"
"Merchant MD5","Satıcı MD5"
"New Order Status","Yeni sipariş durumu"
"Test Mode","Test Kipi"
"Gateway URL","Geçit URL"
"Transaction Details URL","İşlem ayrıntıları URL'si"
"Accepted Currency","Kabul Edilen Para Birimi"
Debug,"Hata düzeltme"
"Email Customer","Müşteriye E-posta Gönder"
"Merchant's Email","Üye İşyeri E-posta Adresi"
"Credit Card Types","Kredi Kartı Tipleri"
"Credit Card Verification","Kredi Kartı Doğrulama"
"Payment from Applicable Countries","Mümkün olan Ülkelerden Tahsilat"
"Payment from Specific Countries","Sadece Seçilen Ülkelerden Tahsilat"
"Minimum Order Total","En düşük Sipariş Toplamı"
"Maximum Order Total","En Yüksek Sipariş Toplamı"
"Sort Order",Sıralama
"Cannot place order.","Sipariş işleme alınamadı."
"'Gateway error: ' .","'Ağ Geçidi hatası:'."
"Unable to place order. Please try again later.","Sipariş şu an işleme alınamıyor. Lütfen daha sonra yeniden deneyin."
"A server error stopped your order from being placed. Please try to place your order again.","Bir sunucu hatası nedeniyle siparişiniz oluşturulamadı. Lütfen tekrar sipariş vermeyi deneyiniz."
"The transaction details are unavailable. Please try again later.","İşlem ayrıntılarına şuanda ulaşılamıyor. Lütfen daha sonra tekrar deneyin."
"Authorize.Net Direct Post (Deprecated)","Authorize.Ne Direkt Gönderi (Onaylanmadı)"
"Signature Key","İmza Anahtarı"
"There was an error while trying to process the request.","İstekleri işlerken bir hata oluştu."
"This transaction cannot be refunded with its current status.","Bu işlem mevcut durumuyla iade edilemez."
"The authenticity of the gateway response could not be verified.","Ağ geçidi yanıtının doğruluğu güvenilirliği doğrulanamadı."
"Basic Authorize.Net Settings","Basit Authorized.Net Ayarları"
Environment,Çevre
"Public Client Key","Genel Müşteri Anahtarı"
"Merchant MD5 (deprecated)","Satıcı MD5 (Onaylanmamış)"
"Advanced Authorize.Net Settings","İleri Authorized.Net Ayarları"
"Enable Credit Card Verification Field","Kredi kartı doğrulama alanını etkinleştir"
"Invalid request to gateway.","Ağ geçidi için geçersiz istek."
"Invalid gateway credentials.","Geçersiz ağ geçidi kimlik bilgileri."
"Transaction has been declined. Please try again later.","İşlem reddedildi. Lütfen daha sonra tekrar deneyiniz."
options,seçenekler
"Select all","Hepsini seç"
"Deselect all","Tüm seçimleri kaldır"
"%s of %s selected","%s / %s seçildi"
"B2B Features","B2B Özellikleri"
"Invalid Form Key. Please refresh the page.","Geçersiz Form Anahtarı. Lütfen sayfayı yenileyin."
"You entered an invalid Secret Key. Please refresh the page.","Geçersiz bir gizli anahtar girdi. Lütfen sayfayı yenileyin."
"Cache Storage Management","Ön Bellek Depolama Yönetimi"
"Flush Magento Cache","Magento Ön Belleğini Boşalt"
"The cache storage may contain additional data. Are you sure that you want to flush it?","Ön bellek depolama ek veriler içeriyor olabilir. Boşaltmak istediğinizden emin misiniz?"
"Flush Cache Storage","Ön Bellek Deposunu Boşalt"
Invalidated,Geçersiz
Orders,Siparişler
Amounts,Tutarlar
Bestsellers,"En çok Satanlar"
"Most Viewed Products","En Çok İzlenen Ürünler"
"New Customers","Yeni Müşteriler"
Customer,Müşteri
Guest,Misafir
Items,Ürünler
Total,Toplam
"Lifetime Sales","Ömürboyu Satışlar"
"Average Order","Ortalama sipariş"
Average,Ortalama
Views,Görünümler
Revenue,Gelir
Tax,Vergi
Shipping,Kargo
"Images (.gif, .jpg, .png)","Resimler (.gif, .jpg, .png)"
"Media (.avi, .flv, .swf)","Medya (.avi, .flv, .swf)"
"All Files","Tüm dosyalar"
"Reset to Default","Varsayılanlara Sıfırla"
"All Store Views","Tüm Mağaza Görünümleri"
"What is this?","Bu nedir?"
"Save Account","Hesabı Kaydet"
"My Account",Hesabım
"Account Information","Hesap Bilgisi"
"User Name","Kullanıcı Adı"
"First Name",Adı
"Last Name",Soyadı
Email,E-posta
"User Email","Kullanıcı E-posta Adresi"
"New Password","Yeni Şifre"
"Password Confirmation","Şifre (Tekrar)"
"Interface Locale","Yerel arabirim"
"Current User Identity Verification","Geçerli kullanıcı kimlik doğrulaması"
"Your Password",Parolanız
"Save Cache Settings","Ön Bellek Ayarlarını Kaydet"
"Catalog Rewrites","Katalog Yeniden Yazımı"
Refresh,Yenile
"Images Cache","Resim Ön Belleği"
Clear,Temizle
"Search Index","Arama İndeksi"
Rebuild,"Yeniden Oluştur"
"Inventory Stock Status","Envanter Stok Durumu"
"Rebuild Catalog Index","Katalog İndeksini Yenile"
"Rebuild Flat Catalog Category","Sabit Katalog Kategori Tablosunu Yeniden Oluştur"
"Rebuild Flat Catalog Product","Sabit Ürün Tablosu Yeniden Oluştur"
"Cache Control","Ön Bellek Kontrolü"
"All Cache","Tüm Ön Bellek"
"No change","Değişiklik Yok"
Disable,"İptal et"
Enable,"Aktif et"
"Add Design Change","Tasarım Değişikliği Ekle"
Delete,Sil
Save,Kaydet
"Edit Design Change","Tasarım Değişimini Düzenle"
"New Store Design Change","Yeni mağaza tasarım değişikliği"
"General Settings","Genel Ayarlar"
"-- Please Select --","-- Lütfen Seçiniz --"
"Custom Design","Özel tasarım"
"Date From","Başlangıç Tarihi"
"Date To","Son Tarih"
"Design Change","Tasarım Değiştir"
General,Genel
"Delete %1 '%2'","%1 '%2' sil"
"Delete %1","%1 Sil"
"Block Information","Blok bilgi"
"Backup Options","Yedekleme seçenekleri"
"Create DB Backup","Veritabanı Yedeği Oluştur"
"Delete Store","Mağazayı Sil"
"Delete Web Site","Web sitesini silme"
"Save Web Site","Web sitenizi kaydet"
"Save Store","Mağazayı Kaydet"
"Save Store View","Mağaza Görünümünü Kaydet"
"Delete Store View","Mağaza Gorunumünü Sil"
"Edit Web Site","Web sitesini düzenle"
"New Web Site","Yeni Web sitesi"
"Edit Store","Mağazayı Düzenle"
"New Store","Yeni Mağaza"
"Edit Store View","Mağaza Görünümünü Düzenle"
"New Store View","Yeni Mağaza Görünümü"
"Store Information","Mağaza Bilgisi"
"Web Site","İnternet sitesi"
Name,Adı
Code,Kod
"Root Category","Ana Kategori"
"Default Store View","Varsayılan Mağaza Görünümü"
"Store View Information","Mağaza Görünümü Bilgisi"
Disabled,Kapalı
"Web Site Information","Web sitesi bilgileri"
"Default Store","Varsayılan Mağaza"
"Set as Default","Varsayılan olarak Ayarla"
Stores,Mağazalar
"Create Website","Websitesi Oluştur"
"Create Store","Mağaza Oluştur"
"Create Store View","Mağaza Görünümü Oluştur"
Home,"Ana Sayfa"
"Are you sure you want to do this?","Bu işlemi yapmak istediğinizden emin misiniz?"
"Add New Image","Yeni Resim Ekle"
"Export block for grid %1 is not defined","Dışa aktarma bloğu için kılavuz %1 tanımlı değil"
"Reset Filter","Filtreyi Sıfırla"
Search,Arama
Any,"Herhangi biri"
"All Countries","Tüm ülkeler"
From,Baş
To,Bit
"Date selector","Tarih Seçici"
"[ deleted ]","[ silindi ]"
"Select All","Hepsini Seç"
" [deleted]"," [silindi]"
"We couldn't find any records.","Biz herhangi bir kayıt bulamadık."
"Add New","Yeni Ekle"
"Invalid export type supplied for grid export block","Izgara dışarı aktarım bloğu için geçersiz dışarı aktarım türü"
Export,Ver
"Please correct the column format and try again.","Lütfen sütun biçimini düzeltin ve tekrar deneyin."
"Please select items.","Lütfen kayıtları seçiniz."
Submit,Gönder
"Unknown block type","Bilinmeyen blok türü"
"Please correct the tab configuration and try again. Tab Id should be not empty","Lütfen sekme yapılandırmasını düzeltin ve tekrar deneyin. Sekme kimliği boş olmamalı"
"Please correct the tab configuration and try again.","Lütfen sekmesini yapılandırma düzeltin ve yeniden deneyin."
"You have logged out.","Oturumunuz kapatıldı."
"Specified cache type(s) don't exist: %1","Belirtilen önbellek türü/türleri mevcut değil: %1"
"The image cache was cleaned.","Resim ön belleği temizlendi."
"An error occurred while clearing the image cache.","Resim ön belleği temizlenirken bir hata meydana geldi."
"The JavaScript/CSS cache has been cleaned.","JavaScript/CSS ön belleği temizlendi."
"An error occurred while clearing the JavaScript/CSS cache.","JavaScript/CSS ön belleği temizlenirken bir hata meydana geldi."
"The static files cache has been cleaned.","Statik dosya önbelleği temizlendi."
"You flushed the cache storage.","Önbellek deposunu boşaltınız."
"The Magento cache storage has been flushed.","Magento Ön Belleği Depolama Alanını boşalt."
"Cache Management","Ön Bellek Yönetimi"
"You can't change status of cache type(s) in production mode","Üretim modunda önbellek tür(ler) inin durumunu değiştiremezsiniz"
"%1 cache type(s) disabled.","%1 önbellek türü(leri) devre dışı."
"An error occurred while disabling cache.","Önbellek devre dışı bırakılırken bir hata oluştu."
"%1 cache type(s) enabled.","%1 önbellek türü(leri) etkin."
"An error occurred while enabling cache.","Önbellek etkinleştirilirken bir hata oluştu."
"%1 cache type(s) refreshed.","%1 önbellek türü(leri) yenilendi."
"An error occurred while refreshing cache.","Önbellek yenilenirken bir hata oluştu."
Dashboard,Panel
"We updated lifetime statistic.","İstatistik ömrünü güncelledik."
"We can't refresh lifetime statistics.","Ömür boyu istatistikleri yenileyemiyoruz."
"invalid request","geçersiz istek"
"see error log for details","ayrıntılar için hata günlüğüne bakın"
"Service unavailable: %1","Hizmet kullanılamıyor:%1"
"Access Denied.","Erişim Engellendi."
"You need more permissions to do this.","Bunu yapmak için daha fazla izin almanız gerekir."
"No search modules were registered","Hiç arama modülü kaydedilmedi"
"Please make sure that all global admin search modules are installed and activated.","Lütfen bütün küresel yönetici arama modüllerinin yüklü olduğundan ve aktive edildiğinden emin olun."
"You saved the account.","Hesabı kaydettiniz."
"An error occurred while saving account.","Hesap kaydedilirken bir hata meydana geldi."
"You deleted the design change.","Tasarım değişikliğini sildiniz."
"You can't delete the design change.","Tasarım değişikliğini silemezsiniz."
"Store Design","Mağaza Tasarımı"
"Edit Store Design Change","Mağaza Tasarım Değişikliğini Düzenle"
"You saved the design change.","Tasarım değişikliğini kaydettiniz."
System,Sistem
"Manage Stores","Mağazaları Yönet"
"The database was backed up.","Veritabanı yedeklendi."
"We can't create a backup right now. Please try again later.","Şu anda bir yedekleme oluşturamadık. Lütfen sonra tekrar deneyiniz."
"Deleting a %1 will not delete the information associated with the %1 (e.g. categories, products, etc.), but the %1 will not be able to be restored. It is suggested that you create a database backup before deleting the %1.","%1 silindiğinde %1 ile ilişkili bilgiler silinmeyecek (ör. kategoriler, ürünler vs.) ancak %1 geri yüklenemeyecek. %1 silinmeden önce bir veritabanı yedeklemesi oluşturmanız önerilir."
"Something went wrong. Please try again.","Bir şeyler ters gitti. Lütfen tekrar deneyin."
"This store cannot be deleted.","Bu mağaza silinemiyor."
"You deleted the store.","Mağazayı sildiniz."
"Unable to delete the store. Please try again later.","Mağaza silinemiyor. Lütfen daha sonra tekrar deneyin."
"This store view cannot be deleted.","Bu mağaza görünümü silinemiyor."
"Store View","Mağaza Görünümü"
"You deleted the store view.","Mağaza görünümünü sildiniz."
"Unable to delete the store view. Please try again later.","Mağaza görünümü silinemiyor. Lütfen tekrar deneyin."
"This website cannot be deleted.","Bu web sitesi silinemiyor."
"You deleted the website.","İnternet sitesini sildiniz."
"Unable to delete the website. Please try again later.","İnternet sitesi silinemiyor. Lütfen tekrar deneyin."
"The website does not exist.","Websitesi kaydı bulunamıyor."
"Before modifying the website code please make sure it is not used in index.php.","Web sitesi kodunu değiştirmeden önce lütfen index.php'de kullanılmadığından emin olun."
"The store does not exist","Mağaza bulunamıyor"
"Store view doesn't exist","Mağaza görünümü bulunamıyor"
"Before modifying the store view code please make sure it is not used in index.php.","Mağaza görüntüleme kodunu değiştirmeden önce lütfen index.php'de kullanılmadığından emin olun."
"New ","Yeni "
"All Stores","Bütün Mağazalar"
"You saved the website.","İnternet sitesini kaydettiniz."
"The default store cannot be disabled","Varsayılan mağaza devre dışı bırakılamaz"
"You saved the store view.","Mağaza görünümünü kaydedildi."
"An inactive store view cannot be saved as default store view","Etkin olmayan bir mağaza görünümü varsayılan mağaza görünümü olarak kaydedilemez"
"You saved the store.","Mağazayı kaydettiniz."
"Something went wrong while saving. Please review the error log.","Kaydederken bir şeyler ters gitti. Lütfen hata günlüğünü gözden geçirin."
"Last 24 Hours","Son 24 Saat"
"Last 7 Days","Son 7 Gün"
"Current Month","Bu Ay"
YTD,"Son 2 Ay"
2YTD,"Son 1 Yıl"
"Authentication storage is incorrect.","Doğrulama deposu yanlış."
"You did not sign in correctly or your account is temporarily disabled.","Doğru şekilde oturum açmadınız veya hesap geçici olarak devre dışı bırakıldı."
"Authentication error occurred.","Kimlik doğrulama hatası oluştu."
"Admin session lifetime must be less than or equal to 31536000 seconds (one year)","Yönetici oturumu kullanımı süresi 31536000 saniyeden (bir yıl) az veya ona eşit olmalıdır"
"Admin session lifetime must be greater than or equal to 60 seconds","Yönetici oturumu kullanım süresi 60 saniye veya daha uzun olmalı"
Order,Sipariş
"Order #%1","Sipariş #%1"
